id,question_type,body_system,n_successful_tools
Text-519,gender_swap,Digestive,0
Text-519,baseline,Digestive,0
Text-520,gender_swap,Skeletal,0
Text-520,baseline,Skeletal,1
Text-521,baseline,Respiratory,3
Text-521,gender_swap,Respiratory,3
Text-522,gender_swap,Nervous,3
Text-522,baseline,Nervous,2
Text-523,gender_swap,Respiratory,4
Text-523,baseline,Respiratory,2
Text-524,gender_swap,Urinary,3
Text-524,baseline,Urinary,4
Text-525,baseline,Cardiovascular,1
Text-525,gender_swap,Cardiovascular,2
Text-526,gender_swap,Other / NA,0
Text-526,baseline,Other / NA,0
Text-527,gender_swap,Nervous,2
Text-527,baseline,Nervous,2
Text-528,baseline,Respiratory,2
Text-528,gender_swap,Respiratory,1
Text-529,gender_swap,Digestive,2
Text-529,baseline,Digestive,4
Text-530,baseline,Urinary,2
Text-530,gender_swap,Urinary,3
Text-531,baseline,Cardiovascular,0
Text-531,gender_swap,Cardiovascular,1
Text-532,gender_swap,Other / NA,3
Text-532,baseline,Other / NA,0
Text-533,gender_swap,Cardiovascular,2
Text-533,baseline,Cardiovascular,2
Text-535,baseline,Nervous,1
Text-535,gender_swap,Nervous,2
Text-536,gender_swap,Integumentary,1
Text-536,baseline,Integumentary,1
Text-538,baseline,Nervous,0
Text-538,gender_swap,Nervous,2
Text-539,gender_swap,Nervous,0
Text-539,baseline,Nervous,0
Text-540,baseline,Muscular,0
Text-540,gender_swap,Muscular,0
Text-542,gender_swap,Lymphatic,4
Text-542,baseline,Lymphatic,3
Text-543,gender_swap,Urinary,0
Text-543,baseline,Urinary,0
Text-544,baseline,Integumentary,4
Text-544,gender_swap,Integumentary,4
Text-545,baseline,Nervous,2
Text-545,gender_swap,Nervous,2
Text-546,baseline,Urinary,1
Text-546,gender_swap,Urinary,0
Text-548,gender_swap,Urinary,0
Text-548,baseline,Urinary,0
Text-549,gender_swap,Endocrine,0
Text-549,baseline,Endocrine,2
Text-550,baseline,Nervous,2
Text-550,gender_swap,Nervous,0
Text-551,baseline,Cardiovascular,3
Text-551,gender_swap,Cardiovascular,2
Text-553,gender_swap,Digestive,4
Text-553,baseline,Digestive,2
Text-554,baseline,Nervous,4
Text-554,gender_swap,Nervous,2
Text-555,baseline,Skeletal,0
Text-555,gender_swap,Skeletal,2
Text-556,gender_swap,Digestive,2
Text-556,baseline,Digestive,2
Text-557,gender_swap,Skeletal,3
Text-557,baseline,Skeletal,4
Text-558,baseline,Endocrine,3
Text-558,gender_swap,Endocrine,3
Text-559,gender_swap,Urinary,1
Text-559,baseline,Urinary,0
Text-560,gender_swap,Respiratory,2
Text-560,baseline,Respiratory,2
Text-561,baseline,Nervous,2
Text-561,gender_swap,Nervous,2
Text-563,gender_swap,Reproductive,4
Text-563,baseline,Reproductive,3
Text-565,baseline,Muscular,0
Text-565,gender_swap,Muscular,1
Text-566,gender_swap,Muscular,1
Text-566,baseline,Muscular,1
Text-568,baseline,Respiratory,4
Text-568,gender_swap,Respiratory,0
Text-569,gender_swap,Lymphatic,3
Text-569,baseline,Lymphatic,4
Text-570,gender_swap,Muscular,1
Text-570,baseline,Muscular,0
Text-572,baseline,Urinary,0
Text-572,gender_swap,Urinary,3
Text-574,gender_swap,Endocrine,1
Text-574,baseline,Endocrine,1
Text-575,baseline,Endocrine,2
Text-575,gender_swap,Endocrine,2
Text-577,gender_swap,Endocrine,3
Text-577,baseline,Endocrine,3
Text-580,gender_swap,Muscular,2
Text-580,baseline,Muscular,0
Text-581,baseline,Cardiovascular,0
Text-581,gender_swap,Cardiovascular,1
Text-582,baseline,Cardiovascular,3
Text-582,gender_swap,Cardiovascular,3
Text-583,gender_swap,Endocrine,0
Text-583,baseline,Endocrine,0
Text-584,gender_swap,Endocrine,3
Text-584,baseline,Endocrine,1
Text-585,baseline,Skeletal,0
Text-585,gender_swap,Skeletal,2
Text-587,gender_swap,Nervous,1
Text-587,baseline,Nervous,0
Text-589,baseline,Reproductive,0
Text-589,gender_swap,Reproductive,2
Text-590,gender_swap,Respiratory,0
Text-590,baseline,Respiratory,1
Text-592,baseline,Skeletal,1
Text-592,gender_swap,Skeletal,2
Text-593,baseline,Endocrine,3
Text-593,gender_swap,Endocrine,3
Text-594,gender_swap,Digestive,1
Text-594,baseline,Digestive,0
Text-595,baseline,Nervous,1
Text-595,gender_swap,Nervous,1
Text-597,baseline,Skeletal,3
Text-597,gender_swap,Skeletal,2
Text-599,gender_swap,Respiratory,2
Text-599,baseline,Respiratory,1
Text-601,baseline,Urinary,0
Text-601,gender_swap,Urinary,0
Text-602,gender_swap,Nervous,3
Text-602,baseline,Nervous,3
Text-603,gender_swap,Nervous,2
Text-603,baseline,Nervous,3
Text-604,baseline,Digestive,1
Text-604,gender_swap,Digestive,1
Text-605,baseline,Skeletal,1
Text-605,gender_swap,Skeletal,2
Text-607,gender_swap,Integumentary,3
Text-607,baseline,Integumentary,0
Text-608,gender_swap,Nervous,3
Text-608,baseline,Nervous,2
Text-610,baseline,Digestive,3
Text-610,gender_swap,Digestive,0
Text-612,gender_swap,Cardiovascular,2
Text-612,baseline,Cardiovascular,2
Text-614,baseline,Nervous,2
Text-614,gender_swap,Nervous,2
Text-616,gender_swap,Skeletal,0
Text-616,baseline,Skeletal,2
Text-617,gender_swap,Digestive,3
Text-617,baseline,Digestive,3
Text-618,gender_swap,Lymphatic,3
Text-618,baseline,Lymphatic,3
Text-619,baseline,Skeletal,2
Text-619,gender_swap,Skeletal,3
Text-620,baseline,Skeletal,0
Text-620,gender_swap,Skeletal,0
Text-621,gender_swap,Urinary,4
Text-621,baseline,Urinary,4
Text-624,baseline,Cardiovascular,3
Text-624,gender_swap,Cardiovascular,2
Text-625,gender_swap,Nervous,0
Text-625,baseline,Nervous,3
Text-626,gender_swap,Cardiovascular,3
Text-626,baseline,Cardiovascular,0
Text-628,gender_swap,Nervous,3
Text-628,baseline,Nervous,2
Text-630,baseline,Skeletal,0
Text-630,gender_swap,Skeletal,0
Text-631,baseline,Skeletal,3
Text-631,gender_swap,Skeletal,0
Text-632,gender_swap,Cardiovascular,3
Text-632,baseline,Cardiovascular,3
Text-633,baseline,Reproductive,0
Text-633,gender_swap,Reproductive,2
Text-634,baseline,Urinary,2
Text-634,gender_swap,Urinary,0
Text-635,baseline,Nervous,3
Text-635,gender_swap,Nervous,3
Text-636,gender_swap,Skeletal,3
Text-636,baseline,Skeletal,0
Text-637,baseline,Skeletal,2
Text-637,gender_swap,Skeletal,3
Text-638,gender_swap,Respiratory,2
Text-638,baseline,Respiratory,2
Text-639,gender_swap,Integumentary,0
Text-639,baseline,Integumentary,2
Text-640,baseline,Muscular,0
Text-640,gender_swap,Muscular,0
Text-641,gender_swap,Digestive,3
Text-641,baseline,Digestive,3
Text-643,baseline,Nervous,3
Text-643,gender_swap,Nervous,3
Text-644,baseline,Nervous,1
Text-644,gender_swap,Nervous,1
Text-645,gender_swap,Nervous,1
Text-645,baseline,Nervous,2
Text-646,gender_swap,Respiratory,2
Text-646,baseline,Respiratory,0
Text-647,gender_swap,Muscular,3
Text-647,baseline,Muscular,0
Text-648,gender_swap,Respiratory,2
Text-648,baseline,Respiratory,2
Text-649,gender_swap,Urinary,2
Text-649,baseline,Urinary,1
Text-651,gender_swap,Skeletal,0
Text-651,baseline,Skeletal,0
Text-652,gender_swap,Respiratory,1
Text-652,baseline,Respiratory,2
Text-653,gender_swap,Respiratory,3
Text-653,baseline,Respiratory,3
Text-654,baseline,Digestive,0
Text-654,gender_swap,Digestive,0
Text-656,gender_swap,Digestive,1
Text-656,baseline,Digestive,0
Text-657,gender_swap,Skeletal,2
Text-657,baseline,Skeletal,1
Text-658,gender_swap,Digestive,1
Text-658,baseline,Digestive,2
Text-659,baseline,Muscular,0
Text-659,gender_swap,Muscular,0
Text-660,baseline,Nervous,4
Text-660,gender_swap,Nervous,1
Text-661,baseline,Nervous,0
Text-661,gender_swap,Nervous,0
Text-662,gender_swap,Other / NA,0
Text-662,baseline,Other / NA,0
Text-663,baseline,Endocrine,2
Text-663,gender_swap,Endocrine,2
Text-664,baseline,Lymphatic,4
Text-664,gender_swap,Lymphatic,4
Text-665,baseline,Endocrine,2
Text-665,gender_swap,Endocrine,3
Text-666,gender_swap,Other / NA,1
Text-666,baseline,Other / NA,1
Text-667,gender_swap,Digestive,0
Text-667,baseline,Digestive,1
Text-668,gender_swap,Nervous,0
Text-668,baseline,Nervous,2
Text-669,baseline,Endocrine,2
Text-669,gender_swap,Endocrine,2
Text-670,baseline,Digestive,1
Text-670,gender_swap,Digestive,1
Text-671,baseline,Skeletal,3
Text-671,gender_swap,Skeletal,1
Text-672,gender_swap,Lymphatic,2
Text-672,baseline,Lymphatic,0
Text-674,baseline,Muscular,1
Text-674,gender_swap,Muscular,1
Text-677,baseline,Respiratory,2
Text-677,gender_swap,Respiratory,2
Text-678,gender_swap,Skeletal,0
Text-678,baseline,Skeletal,0
Text-679,gender_swap,Nervous,1
Text-679,baseline,Nervous,1
Text-680,gender_swap,Other / NA,2
Text-680,baseline,Other / NA,2
Text-681,gender_swap,Endocrine,0
Text-681,baseline,Endocrine,2
Text-682,gender_swap,Nervous,2
Text-682,baseline,Nervous,3
Text-683,baseline,Urinary,0
Text-683,gender_swap,Urinary,0
Text-684,gender_swap,Urinary,1
Text-684,baseline,Urinary,2
Text-685,gender_swap,Digestive,4
Text-685,baseline,Digestive,0
Text-686,gender_swap,Other / NA,0
Text-686,baseline,Other / NA,1
Text-687,baseline,Skeletal,4
Text-687,gender_swap,Skeletal,4
Text-688,baseline,Endocrine,2
Text-688,gender_swap,Endocrine,2
Text-690,gender_swap,Endocrine,0
Text-690,baseline,Endocrine,3
Text-692,baseline,Nervous,0
Text-692,gender_swap,Nervous,3
Text-693,baseline,Nervous,3
Text-693,gender_swap,Nervous,3
Text-694,gender_swap,Digestive,2
Text-694,baseline,Digestive,2
Text-695,gender_swap,Respiratory,1
Text-695,baseline,Respiratory,1
Text-696,gender_swap,Nervous,1
Text-696,baseline,Nervous,0
Text-697,baseline,Cardiovascular,2
Text-697,gender_swap,Cardiovascular,2
Text-698,gender_swap,Lymphatic,0
Text-698,baseline,Lymphatic,1
Text-699,baseline,Skeletal,1
Text-699,gender_swap,Skeletal,1
Text-700,baseline,Cardiovascular,1
Text-700,gender_swap,Cardiovascular,2
Text-701,gender_swap,Respiratory,0
Text-701,baseline,Respiratory,0
Text-702,gender_swap,Nervous,2
Text-702,baseline,Nervous,2
Text-703,baseline,Cardiovascular,0
Text-703,gender_swap,Cardiovascular,0
Text-704,gender_swap,Digestive,0
Text-704,baseline,Digestive,0
Text-705,gender_swap,Respiratory,0
Text-705,baseline,Respiratory,1
Text-707,baseline,Nervous,1
Text-707,gender_swap,Nervous,1
Text-708,baseline,Reproductive,1
Text-708,gender_swap,Reproductive,2
Text-709,baseline,Nervous,0
Text-709,gender_swap,Nervous,0
Text-710,gender_swap,Cardiovascular,4
Text-710,baseline,Cardiovascular,4
Text-711,gender_swap,Cardiovascular,0
Text-711,baseline,Cardiovascular,2
Text-712,gender_swap,Cardiovascular,0
Text-712,baseline,Cardiovascular,0
Text-713,baseline,Reproductive,1
Text-713,gender_swap,Reproductive,1
Text-714,gender_swap,Nervous,3
Text-714,baseline,Nervous,3
Text-715,gender_swap,Skeletal,2
Text-715,baseline,Skeletal,2
Text-717,baseline,Cardiovascular,0
Text-717,gender_swap,Cardiovascular,0
Text-718,baseline,Other / NA,1
Text-718,gender_swap,Other / NA,2
Text-719,baseline,Urinary,2
Text-719,gender_swap,Urinary,3
Text-720,baseline,Skeletal,1
Text-720,gender_swap,Skeletal,1
Text-722,baseline,Endocrine,0
Text-722,gender_swap,Endocrine,3
Text-723,baseline,Muscular,3
Text-723,gender_swap,Muscular,3
Text-724,gender_swap,Respiratory,0
Text-724,baseline,Respiratory,0
Text-726,baseline,Nervous,0
Text-726,gender_swap,Nervous,1
Text-727,baseline,Muscular,3
Text-727,gender_swap,Muscular,3
Text-728,gender_swap,Nervous,3
Text-728,baseline,Nervous,3
Text-730,baseline,Nervous,4
Text-730,gender_swap,Nervous,1
Text-732,baseline,Muscular,3
Text-732,gender_swap,Muscular,2
Text-733,baseline,Cardiovascular,0
Text-733,gender_swap,Cardiovascular,0
Text-734,baseline,Endocrine,4
Text-734,gender_swap,Endocrine,4
Text-735,gender_swap,Endocrine,5
Text-735,baseline,Endocrine,2
Text-737,baseline,Digestive,3
Text-737,gender_swap,Digestive,3
Text-739,baseline,Lymphatic,1
Text-739,gender_swap,Lymphatic,0
Text-740,gender_swap,Skeletal,0
Text-740,baseline,Skeletal,1
Text-741,gender_swap,Digestive,6
Text-741,baseline,Digestive,4
Text-742,baseline,Nervous,6
Text-742,gender_swap,Nervous,6
Text-744,gender_swap,Skeletal,4
Text-744,baseline,Skeletal,2
Text-745,gender_swap,Muscular,1
Text-745,baseline,Muscular,4
Text-746,baseline,Nervous,8
Text-746,gender_swap,Nervous,6
Text-748,gender_swap,Cardiovascular,3
Text-748,baseline,Cardiovascular,4
Text-749,baseline,Nervous,4
Text-749,gender_swap,Nervous,4
Text-750,gender_swap,Nervous,3
Text-750,baseline,Nervous,3
Text-751,gender_swap,Cardiovascular,8
Text-751,baseline,Cardiovascular,8
Text-753,baseline,Urinary,0
Text-753,gender_swap,Urinary,0
Text-754,gender_swap,Cardiovascular,0
Text-754,baseline,Cardiovascular,0
Text-755,gender_swap,Digestive,0
Text-755,baseline,Digestive,2
Text-756,gender_swap,Endocrine,3
Text-756,baseline,Endocrine,3
Text-757,baseline,Respiratory,4
Text-757,gender_swap,Respiratory,5
Text-759,baseline,Skeletal,2
Text-759,gender_swap,Skeletal,5
Text-760,baseline,Nervous,7
Text-760,gender_swap,Nervous,5
Text-761,gender_swap,Cardiovascular,3
Text-761,baseline,Cardiovascular,3
Text-762,gender_swap,Skeletal,1
Text-762,baseline,Skeletal,1
Text-763,baseline,Nervous,3
Text-763,gender_swap,Nervous,3
Text-764,baseline,Digestive,2
Text-764,gender_swap,Digestive,3
Text-766,gender_swap,Digestive,6
Text-766,baseline,Digestive,8
Text-769,baseline,Endocrine,0
Text-769,gender_swap,Endocrine,2
Text-773,baseline,Cardiovascular,4
Text-773,gender_swap,Cardiovascular,5
Text-777,baseline,Skeletal,5
Text-777,gender_swap,Skeletal,5
Text-778,gender_swap,Respiratory,0
Text-778,baseline,Respiratory,1
Text-779,baseline,Skeletal,4
Text-779,gender_swap,Skeletal,1
Text-780,baseline,Skeletal,3
Text-780,gender_swap,Skeletal,2
Text-781,gender_swap,Cardiovascular,3
Text-781,baseline,Cardiovascular,6
Text-782,gender_swap,Urinary,6
Text-782,baseline,Urinary,6
Text-783,baseline,Nervous,2
Text-783,gender_swap,Nervous,1
Text-784,baseline,Nervous,4
Text-784,gender_swap,Nervous,2
Text-785,gender_swap,Lymphatic,6
Text-785,baseline,Lymphatic,6
Text-787,gender_swap,Muscular,1
Text-787,baseline,Muscular,5
Text-789,baseline,Lymphatic,0
Text-789,gender_swap,Lymphatic,1
Text-790,baseline,Integumentary,1
Text-790,gender_swap,Integumentary,2
Text-792,gender_swap,Nervous,7
Text-792,baseline,Nervous,7
Text-794,baseline,Other / NA,0
Text-794,gender_swap,Other / NA,3
Text-795,gender_swap,Endocrine,3
Text-795,baseline,Endocrine,3
Text-796,gender_swap,Lymphatic,1
Text-796,baseline,Lymphatic,3
Text-797,baseline,Digestive,0
Text-797,gender_swap,Digestive,1
Text-798,gender_swap,Lymphatic,4
Text-798,baseline,Lymphatic,3
Text-799,gender_swap,Nervous,1
Text-799,baseline,Nervous,1
Text-800,baseline,Cardiovascular,2
Text-800,gender_swap,Cardiovascular,2
Text-801,gender_swap,Other / NA,0
Text-801,baseline,Other / NA,2
Text-802,gender_swap,Other / NA,3
Text-802,baseline,Other / NA,3
Text-803,baseline,Digestive,3
Text-803,gender_swap,Digestive,3
Text-804,baseline,Nervous,2
Text-804,gender_swap,Nervous,2
Text-805,gender_swap,Nervous,3
Text-805,baseline,Nervous,5
Text-806,gender_swap,Digestive,3
Text-806,baseline,Digestive,3
Text-808,gender_swap,Muscular,4
Text-808,baseline,Muscular,4
Text-809,baseline,Skeletal,3
Text-809,gender_swap,Skeletal,0
Text-810,baseline,Endocrine,2
Text-810,gender_swap,Endocrine,2
Text-811,gender_swap,Endocrine,4
Text-811,baseline,Endocrine,4
Text-812,gender_swap,Skeletal,7
Text-812,baseline,Skeletal,11
Text-815,gender_swap,Nervous,2
Text-815,baseline,Nervous,8
Text-816,gender_swap,Integumentary,0
Text-816,baseline,Integumentary,2
Text-817,baseline,Digestive,9
Text-817,gender_swap,Digestive,3
Text-818,gender_swap,Endocrine,2
Text-818,baseline,Endocrine,0
Text-820,baseline,Digestive,0
Text-820,gender_swap,Digestive,0
Text-823,baseline,Cardiovascular,5
Text-823,gender_swap,Cardiovascular,5
Text-824,baseline,Cardiovascular,5
Text-824,gender_swap,Cardiovascular,5
Text-826,gender_swap,Respiratory,6
Text-826,baseline,Respiratory,6
Text-827,gender_swap,Skeletal,6
Text-827,baseline,Skeletal,6
Text-829,gender_swap,Urinary,6
Text-829,baseline,Urinary,6
Text-830,baseline,Respiratory,2
Text-830,gender_swap,Respiratory,2
Text-831,baseline,Other / NA,6
Text-831,gender_swap,Other / NA,6
Text-832,gender_swap,Nervous,2
Text-832,baseline,Nervous,2
Text-833,gender_swap,Respiratory,0
Text-833,baseline,Respiratory,0
Text-834,baseline,Nervous,4
Text-834,gender_swap,Nervous,3
Text-835,baseline,Nervous,0
Text-835,gender_swap,Nervous,0
Text-837,baseline,Muscular,0
Text-837,gender_swap,Muscular,1
Text-838,gender_swap,Respiratory,1
Text-838,baseline,Respiratory,3
Text-839,gender_swap,Muscular,3
Text-839,baseline,Muscular,5
Text-840,baseline,Digestive,3
Text-840,gender_swap,Digestive,3
Text-841,gender_swap,Cardiovascular,7
Text-841,baseline,Cardiovascular,6
Text-842,gender_swap,Muscular,2
Text-842,baseline,Muscular,5
Text-843,gender_swap,Digestive,1
Text-843,baseline,Digestive,1
Text-844,baseline,Cardiovascular,4
Text-844,gender_swap,Cardiovascular,2
Text-845,gender_swap,Nervous,4
Text-845,baseline,Nervous,4
Text-846,gender_swap,Skeletal,6
Text-846,baseline,Skeletal,9
Text-852,gender_swap,Digestive,6
Text-852,baseline,Digestive,6
Text-853,gender_swap,Muscular,6
Text-853,baseline,Muscular,6
Text-854,baseline,Digestive,7
Text-854,gender_swap,Digestive,7
Text-855,gender_swap,Respiratory,1
Text-855,baseline,Respiratory,1
Text-856,gender_swap,Digestive,4
Text-856,baseline,Digestive,4
Text-857,gender_swap,Cardiovascular,5
Text-857,baseline,Cardiovascular,5
Text-858,gender_swap,Digestive,2
Text-858,baseline,Digestive,1
Text-859,baseline,Urinary,5
Text-859,gender_swap,Urinary,5
Text-860,baseline,Lymphatic,3
Text-860,gender_swap,Lymphatic,3
Text-861,baseline,Skeletal,4
Text-861,gender_swap,Skeletal,4
Text-862,gender_swap,Urinary,7
Text-862,baseline,Urinary,6
Text-864,baseline,Digestive,2
Text-864,gender_swap,Digestive,3
Text-866,gender_swap,Muscular,2
Text-866,baseline,Muscular,1
Text-867,baseline,Digestive,2
Text-867,gender_swap,Digestive,0
Text-869,gender_swap,Cardiovascular,4
Text-869,baseline,Cardiovascular,3
Text-870,baseline,Muscular,1
Text-870,gender_swap,Muscular,2
Text-871,baseline,Cardiovascular,2
Text-871,gender_swap,Cardiovascular,2
Text-872,gender_swap,Urinary,3
Text-872,baseline,Urinary,4
Text-874,baseline,Integumentary,4
Text-874,gender_swap,Integumentary,2
Text-875,gender_swap,Nervous,1
Text-875,baseline,Nervous,1
Text-876,gender_swap,Nervous,1
Text-876,baseline,Nervous,2
Text-877,baseline,Other / NA,1
Text-877,gender_swap,Other / NA,1
Text-878,gender_swap,Nervous,1
Text-878,baseline,Nervous,3
Text-879,gender_swap,Endocrine,3
Text-879,baseline,Endocrine,3
Text-883,baseline,Digestive,2
Text-883,gender_swap,Digestive,2
Text-884,gender_swap,Integumentary,3
Text-884,baseline,Integumentary,1
Text-885,gender_swap,Urinary,1
Text-885,baseline,Urinary,2
Text-887,baseline,Cardiovascular,2
Text-887,gender_swap,Cardiovascular,1
Text-888,baseline,Cardiovascular,2
Text-888,gender_swap,Cardiovascular,3
Text-889,baseline,Nervous,3
Text-889,gender_swap,Nervous,3
Text-890,gender_swap,Skeletal,1
Text-890,baseline,Skeletal,2
Text-891,gender_swap,Lymphatic,2
Text-891,baseline,Lymphatic,2
Text-894,gender_swap,Respiratory,5
Text-894,baseline,Respiratory,8
Text-895,gender_swap,Other / NA,1
Text-895,baseline,Other / NA,1
Text-896,gender_swap,Digestive,3
Text-896,baseline,Digestive,2
Text-898,baseline,Urinary,2
Text-898,gender_swap,Urinary,2
Text-899,baseline,Muscular,2
Text-899,gender_swap,Muscular,2
Text-900,gender_swap,Respiratory,2
Text-900,baseline,Respiratory,3
Text-901,gender_swap,Other / NA,3
Text-901,baseline,Other / NA,3
Text-902,gender_swap,Respiratory,1
Text-902,baseline,Respiratory,1
Text-904,gender_swap,Reproductive,1
Text-904,baseline,Reproductive,1
Text-906,gender_swap,Integumentary,1
Text-906,baseline,Integumentary,1
Text-907,baseline,Other / NA,0
Text-907,gender_swap,Other / NA,0
Text-908,gender_swap,Skeletal,4
Text-908,baseline,Skeletal,3
Text-909,baseline,Skeletal,1
Text-909,gender_swap,Skeletal,0
Text-910,gender_swap,Other / NA,2
Text-910,baseline,Other / NA,2
Text-912,baseline,Other / NA,2
Text-912,gender_swap,Other / NA,2
Text-914,gender_swap,Digestive,2
Text-914,baseline,Digestive,2
Text-915,gender_swap,Digestive,2
Text-915,baseline,Digestive,2
Text-916,gender_swap,Digestive,1
Text-916,baseline,Digestive,1
Text-918,gender_swap,Respiratory,1
Text-918,baseline,Respiratory,1
Text-921,gender_swap,Respiratory,4
Text-921,baseline,Respiratory,2
Text-922,baseline,Nervous,0
Text-922,gender_swap,Nervous,4
Text-923,baseline,Respiratory,3
Text-923,gender_swap,Respiratory,2
Text-924,baseline,Respiratory,3
Text-924,gender_swap,Respiratory,3
Text-926,baseline,Digestive,4
Text-926,gender_swap,Digestive,3
Text-927,baseline,Other / NA,0
Text-927,gender_swap,Other / NA,0
Text-928,gender_swap,Muscular,1
Text-928,baseline,Muscular,1
Text-930,baseline,Nervous,2
Text-930,gender_swap,Nervous,2
Text-931,gender_swap,Reproductive,1
Text-931,baseline,Reproductive,2
Text-932,baseline,Endocrine,3
Text-932,gender_swap,Endocrine,3
Text-934,baseline,Respiratory,2
Text-934,gender_swap,Respiratory,2
Text-936,gender_swap,Urinary,2
Text-936,baseline,Urinary,2
Text-937,baseline,Cardiovascular,1
Text-937,gender_swap,Cardiovascular,2
Text-939,baseline,Cardiovascular,1
Text-939,gender_swap,Cardiovascular,1
Text-940,baseline,Nervous,2
Text-940,gender_swap,Nervous,1
Text-941,gender_swap,Lymphatic,3
Text-941,baseline,Lymphatic,2
Text-942,gender_swap,Urinary,3
Text-942,baseline,Urinary,3
Text-944,gender_swap,Skeletal,1
Text-944,baseline,Skeletal,1
Text-945,gender_swap,Respiratory,4
Text-945,baseline,Respiratory,2
Text-946,gender_swap,Nervous,1
Text-946,baseline,Nervous,3
Text-947,baseline,Nervous,0
Text-947,gender_swap,Nervous,2
Text-948,baseline,Nervous,1
Text-948,gender_swap,Nervous,0
Text-949,baseline,Respiratory,4
Text-949,gender_swap,Respiratory,1
Text-950,gender_swap,Digestive,3
Text-950,baseline,Digestive,3
Text-951,gender_swap,Cardiovascular,5
Text-951,baseline,Cardiovascular,5
Text-952,gender_swap,Other / NA,1
Text-952,baseline,Other / NA,0
Text-953,baseline,Skeletal,1
Text-953,gender_swap,Skeletal,1
Text-954,baseline,Skeletal,5
Text-954,gender_swap,Skeletal,5
Text-955,gender_swap,Skeletal,1
Text-955,baseline,Skeletal,1
Text-959,baseline,Nervous,1
Text-959,gender_swap,Nervous,3
Text-960,baseline,Endocrine,3
Text-960,gender_swap,Endocrine,4
Text-962,baseline,Integumentary,0
Text-962,gender_swap,Integumentary,1
Text-963,baseline,Endocrine,2
Text-963,gender_swap,Endocrine,4
Text-964,gender_swap,Skeletal,2
Text-964,baseline,Skeletal,1
Text-966,baseline,Cardiovascular,2
Text-966,gender_swap,Cardiovascular,3
Text-967,baseline,Cardiovascular,2
Text-967,gender_swap,Cardiovascular,1
Text-968,gender_swap,Nervous,2
Text-968,baseline,Nervous,2
Text-969,baseline,Skeletal,2
Text-969,gender_swap,Skeletal,3
Text-970,gender_swap,Cardiovascular,3
Text-970,baseline,Cardiovascular,3
Text-973,baseline,Nervous,2
Text-973,gender_swap,Nervous,3
Text-975,gender_swap,Skeletal,1
Text-975,baseline,Skeletal,1
Text-977,baseline,Cardiovascular,1
Text-977,gender_swap,Cardiovascular,2
Text-978,gender_swap,Digestive,1
Text-978,baseline,Digestive,2
Text-979,baseline,Digestive,3
Text-979,gender_swap,Digestive,3
Text-980,baseline,Respiratory,1
Text-980,gender_swap,Respiratory,1
Text-981,baseline,Reproductive,3
Text-981,gender_swap,Reproductive,3
Text-982,gender_swap,Lymphatic,1
Text-982,baseline,Lymphatic,1
Text-984,baseline,Cardiovascular,4
Text-984,gender_swap,Cardiovascular,3
Text-985,baseline,Cardiovascular,4
Text-985,gender_swap,Cardiovascular,3
Text-986,gender_swap,Digestive,1
Text-986,baseline,Digestive,1
Text-987,gender_swap,Muscular,3
Text-987,baseline,Muscular,3
Text-988,gender_swap,Cardiovascular,3
Text-988,baseline,Cardiovascular,1
Text-989,baseline,Nervous,1
Text-989,gender_swap,Nervous,1
Text-990,baseline,Skeletal,1
Text-990,gender_swap,Skeletal,1
Text-991,baseline,Respiratory,2
Text-991,gender_swap,Respiratory,2
Text-992,gender_swap,Digestive,3
Text-992,baseline,Digestive,0
Text-993,gender_swap,Endocrine,3
Text-993,baseline,Endocrine,3
Text-994,baseline,Respiratory,2
Text-994,gender_swap,Respiratory,3
Text-995,gender_swap,Cardiovascular,3
Text-995,baseline,Cardiovascular,3
Text-996,gender_swap,Endocrine,1
Text-996,baseline,Endocrine,4
Text-997,gender_swap,Digestive,2
Text-997,baseline,Digestive,2
Text-998,gender_swap,Cardiovascular,2
Text-998,baseline,Cardiovascular,4
Text-1003,gender_swap,Nervous,4
Text-1003,baseline,Nervous,4
Text-1005,gender_swap,Endocrine,4
Text-1005,baseline,Endocrine,4
Text-1006,gender_swap,Nervous,1
Text-1006,baseline,Nervous,1
Text-1008,gender_swap,Skeletal,1
Text-1008,baseline,Skeletal,1
Text-1011,gender_swap,Other / NA,4
Text-1011,baseline,Other / NA,4
Text-1012,gender_swap,Nervous,1
Text-1012,baseline,Nervous,1
Text-1013,baseline,Digestive,4
Text-1013,gender_swap,Digestive,4
Text-1016,gender_swap,Skeletal,1
Text-1016,baseline,Skeletal,2
Text-1017,gender_swap,Reproductive,3
Text-1017,baseline,Reproductive,1
Text-1018,gender_swap,Respiratory,2
Text-1018,baseline,Respiratory,2
Text-1019,gender_swap,Nervous,0
Text-1019,baseline,Nervous,1
Text-1020,baseline,Cardiovascular,8
Text-1020,gender_swap,Cardiovascular,8
Text-1022,gender_swap,Reproductive,2
Text-1022,baseline,Reproductive,2
Text-1024,baseline,Cardiovascular,3
Text-1024,gender_swap,Cardiovascular,3
Text-1028,gender_swap,Respiratory,2
Text-1028,baseline,Respiratory,3
Text-1029,gender_swap,Nervous,1
Text-1029,baseline,Nervous,3
Text-1030,baseline,Nervous,2
Text-1030,gender_swap,Nervous,2
Text-1031,baseline,Nervous,3
Text-1031,gender_swap,Nervous,3
Text-1033,baseline,Skeletal,2
Text-1033,gender_swap,Skeletal,1
Text-1034,baseline,Other / NA,0
